"Questionnaire","Wealth_quant","Wealth_yn","Wealth_house"
"B1",0.126672440828336,0.857836022860745,3
"B2",-1.35824317160096,-0.901369281002604,0
"B3",-0.434194467043714,-0.744693683280801,0
"B4",1.29143669417537,1.35541223085212,4
"B5",1.08300520381089,0.83881187371677,3
"B6",-1.35824317160096,-0.901369281002604,0
"B7",-1.35824317160096,-0.901369281002604,0
"B8",-1.35824317160096,-0.901369281002604,0
"B9",3.5214968954646,-0.453488252944571,0
"B10",1.05072114538558,0.857836022860745,3
"B11",-0.049716013848591,0.332837899545471,2
"B12",-1.35824317160096,-0.901369281002604,0
"B13",1.75551026480131,1.50991283807067,5
"B14",3.3315214766434,1.38962294877786,3
"B15",0.382986908294733,0.86462482546259,2
"B16",-0.398055944600544,-0.504112187699911,0
"B17",-0.434194467043714,-0.744693683280801,0
"B18",0.525992759956703,-0.504112187699911,0
"B19",-0.359786137356331,-0.438183255219365,1
"B20",-1.18503679373696,-0.524082962304034,0
"B21",1.08685966782875,1.09841751844163,3
"B22",1.17314983424408,1.01233663007929,3
"B23",1.97476984994283,0.857836022860745,3
"B24",0.489854237513533,-0.744693683280801,0
"B25",0.489854237513533,-0.744693683280801,0
"B26",-0.76123774128574,0.941741920719831,3
"B27",0.489854237513533,-0.744693683280801,0
"B28",-0.260988089179716,-0.367407364582231,0
"B29",-1.32210464915779,-0.660787785421715,0
"B30",-0.24040214324157,-0.210297542044583,1
"B31",-1.35824317160096,-0.901369281002604,0
"B32",2.01303965718704,0.923764955341291,4
"B33",-1.32210464915779,-0.660787785421715,0
"B34",-1.32210464915779,-0.660787785421715,0
"B35",-1.13141851976481,-0.117652343831661,1
"B36",1.65671221662469,1.57584177055121,6
"B37",-1.35824317160096,-0.901369281002604,0
"B38",1.31506733485725,1.43913694743353,5
"B39",-0.434194467043714,-0.744693683280801,0
"B40",-0.434194467043714,-0.744693683280801,0
"B41",-1.32210464915779,-0.660787785421715,0
"B42",-0.434194467043714,-0.744693683280801,0
"B43",0.683646561315677,-0.210297542044583,1
"B44",-1.32210464915779,-0.660787785421715,0
"B45",-1.35824317160096,-0.901369281002604,0
"B46",-0.434194467043714,-0.744693683280801,0
"B47",-0.398055944600544,-0.504112187699911,0
"B48",-1.35824317160096,-0.901369281002604,0
"B49",-0.434194467043714,-0.744693683280801,0
"B50",-0.434194467043714,-0.744693683280801,0
"B51",0.489854237513533,-0.744693683280801,0
"B52",-0.221667489923616,0.0208859356153625,1
"B53",-1.35824317160096,-0.901369281002604,0
"B54",0.489854237513533,-0.744693683280801,0
"B55",-0.434194467043714,-0.744693683280801,0
"B56",-1.35824317160096,-0.901369281002604,0
"B57",-1.35824317160096,-0.901369281002604,0
"B58",-0.76123774128574,0.941741920719831,3
"B59",-0.434194467043714,-0.744693683280801,0
"B60",2.93495707694325,1.09841751844163,3
"B61",1.22392752324958,1.23512234155932,3
"B62",1.97476984994283,0.857836022860745,3
"B63",2.1333370612445,1.25291812566018,3
"B64",-0.434194467043714,-0.744693683280801,0
"B65",-1.35824317160096,-0.901369281002604,0
"B66",-0.797376263728911,0.701160425138942,3
"B67",0.489854237513533,-0.744693683280801,0
"B68",-1.35824317160096,-0.901369281002604,0
"B69",4.74691596361457,0.857836022860745,3
"B70",-0.398055944600544,-0.504112187699911,0
"B71",-0.135377323508288,-0.0651949527469778,1
"B72",-0.76123774128574,0.941741920719831,3
"B73",-0.221667489923616,0.0208859356153625,1
"B74",-0.434232026080627,1.35323724034886,4
"B75",0.70238121463363,0.0208859356153625,1
"B76",-0.257806012366786,-0.219695559965527,1
"B77",-0.221667489923616,0.0208859356153625,1
"B78",0.299878818692334,1.23512234155932,3
"B79",0.162810963271507,1.09841751844163,3
"B80",-0.76123774128574,0.941741920719831,3
"B81",0.489854237513533,-0.744693683280801,0
"B82",0.126672440828336,0.857836022860745,3
"B83",-1.14571619448086,-0.135789662106441,1
"B84",-1.32210464915779,-0.660787785421715,0
"B85",-0.398055944600544,-0.504112187699911,0
"B86",-0.398055944600544,-0.504112187699911,0
"B87",-0.797376263728911,0.701160425138942,3
"B88",-1.18185471692403,-0.37637115768733,1
"B89",0.162810963271507,1.09841751844163,3
"B90",1.05072114538558,0.857836022860745,3
"B91",-0.221667489923616,0.0208859356153625,1
"B92",-0.027875166121472,0.555282076851581,2
"B93",1.0889909526298,0.923764955341291,4
"B94",0.162810963271507,1.09841751844163,3
"B95",-0.797376263728911,0.701160425138942,3
"B96",1.08685966782875,1.09841751844163,3
"B97",0.126672440828336,0.857836022860745,3
"B98",2.4965188579297,-0.349611580481363,0
"B99",-0.434194467043714,-0.744693683280801,0
