"Village","Average fishing days per week","Average catch (kg/day)","Percentage of fishing households","Number of households","Total production (tons/year)","Population","Per capita consumption (kg/year)","Total consumption (tons/year)","Balance (tons/year)"
"Batas",6.4,4.3,67.6,305,292.9,1220,56.1,68.5,224.4
"Depla",5,7.7,63.4,286,362.9,1274,55.3,70.4,292.5
"Mabini",4.4,3,41.2,433,121.4,1698,50.7,86.1,35.3
"Sandoval",3.5,8.3,27.3,318,129.9,1355,57.5,77.9,52
"Silanga",5.1,23,61.2,260,974.2,1587,51.9,82.3,891.9
